updated_at,experiment,run_name,model,split,rmse,mae,r2,target,rows,result_path,notes
2026-05-08T09:41:21,catboost_optuna,catboost_optuna_RMSE_40trials,catboost_optuna,test,0.1814586935683682,0.1307594203579547,0.9309482203205494,log1p_lh_vs_rent_median_ratio_winsor,9074,res/catboost_optuna/metrics.json,"n_trials=40,loss=RMSE"
2026-05-08T14:19:49,catboost_optuna,catboost_optuna_RMSE_100trials,catboost_optuna,test,0.1814586935683682,0.1307594203579547,0.9309482203205494,log1p_lh_vs_rent_median_ratio_winsor,9074,res/catboost_optuna/metrics.json,"n_trials=100,loss=RMSE"
2026-05-09T22:20:33,final_model,catboost_optuna_RMSE_40trials,catboost_final,test,0.1814586935683682,0.1307594203579547,0.9309482203205494,log1p_lh_vs_rent_median_ratio_winsor,9074,res/final_model/metadata.json,"source=catboost_optuna/catboost_optuna_RMSE_40trials,alpha=0.05"
2026-05-08T13:33:55,supervised_ensemble,catboost__xgboost__catboost_optuna,ensemble_weighted,test,0.1815039880096871,0.130650719596027,0.9309137435801562,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost__catboost_optuna/metrics.json,"base_predictions=pred_catboost,pred_xgboost,pred_catboost_optuna"
2026-05-08T13:33:38,supervised_ensemble,catboost__catboost_optuna__stacking,ensemble_weighted,test,0.1815128065185975,0.1304790179501492,0.9309070302007464,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__catboost_optuna__stacking/metrics.json,"base_predictions=pred_catboost,pred_catboost_optuna,pred_stacking"
2026-05-08T13:33:07,supervised_ensemble,catboost_optuna__stacking,ensemble_weighted,test,0.1815128069612253,0.1304790173297433,0.9309070298637732,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost_optuna__stacking/metrics.json,"base_predictions=pred_catboost_optuna,pred_stacking"
2026-05-08T13:34:02,supervised_ensemble,catboost__lgbm__xgboost__catboost_optuna,ensemble_weighted,test,0.1815979808835292,0.1305142219174074,0.9308421716303268,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost__catboost_optuna/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost,pred_catboost_optuna"
2026-05-08T13:33:55,supervised_ensemble,catboost__xgboost__catboost_optuna,ensemble_equal,test,0.1817300033966528,0.1308252892057985,0.9307415790006552,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__xgboost__catboost_optuna/metrics.json,"base_predictions=pred_catboost,pred_xgboost,pred_catboost_optuna"
2026-05-08T13:33:38,supervised_ensemble,catboost__catboost_optuna__stacking,ensemble_equal,test,0.181754934003027,0.1305229743001599,0.9307225752826648,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__catboost_optuna__stacking/metrics.json,"base_predictions=pred_catboost,pred_catboost_optuna,pred_stacking"
2026-05-08T13:33:07,supervised_ensemble,catboost_optuna__stacking,ensemble_equal,test,0.1819725014373391,0.1302942759393698,0.9305566206931684,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost_optuna__stacking/metrics.json,"base_predictions=pred_catboost_optuna,pred_stacking"
2026-05-08T13:34:02,supervised_ensemble,catboost__lgbm__xgboost__catboost_optuna,ensemble_equal,test,0.1820735627766212,0.1308113516111172,0.9304794662917922,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__lgbm__xgboost__catboost_optuna/metrics.json,"base_predictions=pred_catboost,pred_lgbm,pred_xgboost,pred_catboost_optuna"
2026-05-08T01:45:26,supervised_ensemble,catboost__optuna_lgbm,ensemble_equal,test,0.1822051121325199,0.130967124371743,0.930378971908194,log1p_lh_vs_rent_median_ratio_winsor,9074,res/supervised_ensemble/catboost__optuna_lgbm/metrics.json,"base_predictions=pred_catboost,pred_optuna_lgbm"
2026-05-08T01:31:48,tree_models,default,catboost,test,0.1822482923048892,0.1315731903825478,0.9303459694948302,log1p_lh_vs_rent_median_ratio_winsor,9074,res/tree_models/metrics.json,
